girafa, animal, savana, possui pescoco longo, manchas
franca, pais, europa, conhecido pela torre eiffel, baguete
elefante, animal, africa, possui tromba, marfim
japao, pais, asia, famoso pelo monte fuji, sushi
cachorro, animal, em muitos lares, leal e companheiro, coleira
italia, pais, europa, conhecida pela torre de pisa, pizza
tigre, animal, florestas tropicais, listras laranjas e pretas, garras afiadas
canada, pais, america do norte, famoso pelas cataratas do niagara, xarope de bordo
maca, comida, arvores frutiferas, doce e suculenta, casca vermelha
india, pais, asia, conhecida pelo taj mahal, curry
leao, animal, savana, rei da selva, juba
mexico, pais, america do norte, famoso pelos templos maias, tacos
macaco, animal, florestas tropicais, agil e brincalhao, bananas
china, pais, asia, conhecida pela grande muralha, arroz
guitarra, objeto, em bandas de musica, possui cordas, palheta
crocodilo, animal, rios e pantanos, mandibulas fortes, escamas
australia, pais, oceania, famosa pela opera de sydney, canguru
abacaxi, comida, arvores frutiferas, doce e suculento, casca espinhosa
alemanha, pais, europa, conhecida pela catedral de colonia, pretzel
zebra, animal, savana, listras brancas e pretas, coice
brasil, pais, america do sul, famoso pelo cristo redentor, feijoada
baleia, animal, oceanos, maior mamifero do mundo, jato de agua
espanha, pais, europa, famosa pela sagrada familia, paella
carro, objeto, estradas, meio de transporte, volante
russia, pais, europa/asia, conhecida pelo kremlin, vodka
pinguim, animal, regioes polares, nadador habilidoso, penas
grecia, pais, europa, famosa pela acropole de atenas, moussaka
eletricidade, objeto, presente em fios e tomadas, energia, choque
peru, pais, america do sul, famoso por machu picchu, ceviche
girassol, planta, campos abertos, segue o sol, sementes
ferrari, carro, estradas e pistas de corrida, esportivo e luxuoso, velocidade
caneta, objeto, escritorios e escolas, escreve tinta, tampa
estados unidos, pais, america do norte, famoso pela estatua da liberdade, hamburguer
bicicleta, objeto, ciclovias e trilhas, meio de transporte e exercicio, pedais
cacto, planta, desertos, sobrevive em climas aridos, espinhos
coliseu, objeto, roma, italia, anfiteatro antigo, arcos
chevrolet, carro, ruas e estradas, marca americana, emblema da gferrari, carro, estradas e pistas de corrida, esportivo e luxuoso, velocidade
caneta, objeto, escritorios e escolas, escreve tinta, tampa
estados unidos, pais, america do norte, famoso pela estatua da liberdade, hamburguer
bicicleta, objeto, ciclovias e trilhas, meio de transporte e exercicio, pedais
cacto, planta, desertos, sobrevive em climas aridos, espinhos
coliseu, objeto, roma, italia, anfiteatro antigo, arcos
chevrolet, carro, ruas e estradas, marca americana, emblema da gravata borboleta
televisao, objeto, salas e quartos, exibe programas e filmes, controle remoto
suecia, pais, europa, famosa pelos fiordes, almondega
oculos, objeto, rostos, auxilia na visao, armacao
lamborghini, carro, estradas e pistas de corrida, superesportivo e extravagante, motor potente
pintura, objeto, galerias de arte, expressao visual, pincel
canada, pais, america do norte, famoso pelo xarope de bordo, urso pardo
relogio, objeto, pulsos e paredes, marca as horas, ponteiros
rolls-royce, carro, ruas e estradas, simbolo de luxo e elegancia, requinteravata borboleta
televisao, objeto, salas e quartos, exibe programas e filmes, controle remoto
suecia, pais, europa, famosa pelos fiordes, almondega
oculos, objeto, rostos, auxilia na visao, armacao
lamborghini, carro, estradas e pistas de corrida, superesportivo e extravagante, motor potente
pintura, objeto, galerias de arte, expressao visual, pincel
canada, pais, america do norte, famoso pelo xarope de bordo, urso pardo
relogio, objeto, pulsos e paredes, marca as horas, ponteiros
